NodeName;VariableName;Value;Type;DefaultValue
TankEnemy;damagePerHit;20;float;(10)
TankEnemy;attackRange;5;float;(10)
TankEnemy;attackRate;1.25;float;(0.5)
TankEnemy;shieldProbability;0.1;float;(0.05)
KamikazeEnemy;maxHealth;50;float;(100)
KamikazeEnemy;speed;17;float;(20)
KamikazeEnemy;damagePerHit;5;float;(5)
KamikazeEnemy;attackRange;3;float;(5)
KamikazeEnemy;attackRate;0.75;float;(0.5)
KamikazeEnemy;shieldProbability;0.025;float;(0.05)
KamikazeEnemy;explosionRange;10;float;(10)
KamikazeEnemy;explosionDamage;50;float;(20)
KamikazeEnemy;explosionForce;15;float;(10)
CloakerEnemy;maxHealth;75;float;(100)
CloakerEnemy;speed;13;float;(20)
CloakerEnemy;damagePerHit;10;float;(5)
CloakerEnemy;attackRange;5;float;(10)
CloakerEnemy;attackRate;0.75;float;(0.5)
CloakerEnemy;shieldProbability;0;float;(0.05)
CloakerEnemy;transparency;0.1;float;(0.1)
DroneEnemy;maxHealth;100;float;(200)
DroneEnemy;speed;15;float;(10)
DroneEnemy;damagePerHit;15;float;(10)
DroneEnemy;attackRange;5;float;(5)
DroneEnemy;attackRate;1;float;(0.5)
DroneEnemy;shieldProbability;0.1;float;(0.05)
AttackSpeedPowerUp;duration;10;float;(10)
AttackSpeedPowerUp;fireRateMultiplier;0.25;float;(0.25)
SpeedPowerUp;duration;5;float;(5)
SpeedPowerUp;speed;10;float;(10)
ShieldPowerUp;duration;1;float;(1)
ShieldPowerUp;shieldCharges;7;integer;(5)
HealthPowerUp;duration;1;float;(1)
HealthPowerUp;increaseHealth;60;float;(20)
DecoyPowerUp;duration;1;float;(1)
LaserWall;damage;70;float;(10)
LaserWall;switchTime;2;float;(5)
GasTank;explosionRange;15;float;(20)
GasTank;damage;160;float;(100)
MachineGunDefault;projectileName;Bullet;string;(Bullet)
MachineGunDefault;fireRate;0.125;float;(0.1)
MachineGunDefault;randomSpread;True;bool;(True)
MachineGunDefault;spreadRadian;0.05;float;(0.1)
MachineGunDefault;bulletAmount;1;integer;(1)
MachineGunOverclock;projectileName;Bullet;string;(Bullet)
MachineGunOverclock;fireRate;0.075;float;(0.075)
MachineGunOverclock;randomSpread;True;bool;(True)
MachineGunOverclock;spreadRadian;0.35;float;(0.25)
MachineGunOverclock;bulletAmount;2;integer;(2)
RocketLauncherDefault;projectileName;Rocket;string;(Rocket)
RocketLauncherDefault;fireRate;0.75;float;(0.5)
RocketLauncherDefault;randomSpread;False;bool;(False)
RocketLauncherDefault;spreadRadian;0;float;(0)
RocketLauncherDefault;bulletAmount;1;integer;(1)
RocketLauncherOverclock;projectileName;Rocket;string;(Rocket)
RocketLauncherOverclock;fireRate;0.8;float;(0.5)
RocketLauncherOverclock;randomSpread;False;bool;(False)
RocketLauncherOverclock;spreadRadian;6.3;float;(6.3)
RocketLauncherOverclock;bulletAmount;8;integer;(8)
EMPGunDefault;projectileName;EMP;string;(EMP)
EMPGunDefault;fireRate;0.6;float;(0.5)
EMPGunDefault;randomSpread;False;bool;(False)
EMPGunDefault;spreadRadian;0;float;(0)
EMPGunDefault;bulletAmount;1;integer;(1)
EMPGunOverclock;projectileName;EMPOverclocked;string;(EMPOverclocked)
EMPGunOverclock;fireRate;1;float;(0.5)
EMPGunOverclock;randomSpread;False;bool;(False)
EMPGunOverclock;spreadRadian;0;float;(0)
EMPGunOverclock;bulletAmount;1;integer;(1)
Overclock;defaultPoints;100;integer;(10)
Overclock;maxPoints;100;integer;(10)
Overclock;depletionRate;25;float;(2)
Overclock;increaseAmountStep;8;float;(0.5)
FOV;viewAngle;80;float;(80)
FOV;viewRadius;50;float;(50)
Player;maxHealth;1;float;(500)
Player;speed;30;float;(25)
Player;overclockstunDuration;2.5;float;(5)
DistancePoints;valueMultiplier;0.5;float;(0.5)
ComboDisplay;comboTime;3;float;(3)
ComboDisplay;maxCombo;20;integer;(5)
ScoreDisplay;modifierMultiplier;5;float;(1)
Decoy;speed;11;float;(15)
Decoy;attractRange;25;float;(20)
Decoy;explosionRange;7;float;(10)
Decoy;explosionDamage;52;float;(500)
Decoy;lifeTime;2.5;float;(3)
Bullet;lifeTime;10;float;(2)
Bullet;speed;75;float;(70)
Bullet;damage;37;float;(20)
Bullet;bounceCounter;2;integer;(2)
Rocket;lifeTime;6;float;(4)
Rocket;speed;50;float;(40)
Rocket;damage;79;float;(100)
Rocket;radius;5;float;(3)
Rocket;explosionForce;30;float;(15)
EMP;lifeTime;2;float;(2)
EMP;speed;75;float;(50)
EMP;stunDuration;2;float;(1.5)
EMP;stunRadius;5;float;(3)
EMP;damage;11.5;float;(10)
EMP;EMPHitForce;10;float;(10)
EMPOverclock;lifeTime;2;float;(2)
EMPOverclock;speed;50;float;(50)
EMPOverclock;stunDuration;4;float;(2)
EMPOverclock;stunRadius;15;float;(5)
EMPOverclock;damage;16.5;float;(10)
EMPOverclock;EMPHitForce;30;float;(10)
